Buchungsdatum;Betrag;Verwendungszweck
2026-06-01;+2850.00;Arbeitgeber Musterfirma GmbH GEHALT OKTOBER
2026-06-01;-34.53;EDEKA Neukauf EDEKA DANKE FUER IHREN EINKAUF
2026-06-02;-75.00;Stadtwerke Musterstadt ABSCHLAG ENERGIE STADTWERKE
2026-06-03;-12.99;Netflix International B.V. NETFLIX.COM AMSTERDAM
2026-06-05;-10.99;Spotify AB SPOTIFY STOCKHOLM
2026-06-07;-29.99;Telekom Deutschland MOBILFUNK RECHNUNG
2026-06-22;-47.57;Restaurant Akropolis KARTENZAHLung GASTRONOMIE
2026-06-25;-31.27;Restaurant Akropolis KARTENZAHLung GASTRONOMIE
2026-07-01;+2850.00;Arbeitgeber Musterfirma GmbH GEHALT OKTOBER
2026-07-02;-75.00;Stadtwerke Musterstadt ABSCHLAG ENERGIE STADTWERKE
2026-07-02;-60.37;REWE Markt GmbH REWE SAGT DANKE
2026-07-03;-12.99;Netflix International B.V. NETFLIX.COM AMSTERDAM
2026-07-05;-10.99;Spotify AB SPOTIFY STOCKHOLM
2026-07-07;-29.99;Telekom Deutschland MOBILFUNK RECHNUNG
2026-07-24;-32.00;Allianz Versicherung PRAMIENSAVE VERSICHERUNG
2026-08-01;+2850.00;Arbeitgeber Musterfirma GmbH GEHALT OKTOBER
2026-08-02;-75.00;Stadtwerke Musterstadt ABSCHLAG ENERGIE STADTWERKE
2026-08-03;-12.99;Netflix International B.V. NETFLIX.COM AMSTERDAM
2026-08-05;-10.99;Spotify AB SPOTIFY STOCKHOLM
2026-08-07;-29.99;Telekom Deutschland MOBILFUNK RECHNUNG
